"","parity","species","lat","lon","elev","topt_a","ctmin_a","ctmax_a","source","za","ze","n","source_lh","activity","substrate","biome","eggs_seen","hatchlings_seen","breed_ref","breed_other_species","nest_depth","nest_shade","nest_ref"
"61","Oviparous","Sphaerodactylus_townsendi",18.3,-65.7,168,29,11.4,41.7,"b",0.428556792694039,0.0500982711098925,1,"sb","Diurnal","Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",5,9,56,"Sphaerodactylus_nicholsi",NA,NA,NA
"62","Oviparous","Takydromus_septentrionalis",30.2,122.2,10,31.5,4.9,42.3,"b",5.2382934903956,0.36358597604312,3.1,"sb","Diurnal","Arboreal&Terrestrial","Temperate Broadleaf & Mixed Forests",4,8,58,"",NA,NA,NA
"63","Oviparous","Takydromus_sexlineatus",24.8,113.6,66,35.1,6.4,42.2,"b",4.08618025661743,0.170059883181184,2.2,"sb","Diurnal","Arboreal&Terrestrial","Tropical & Subtropical Moist Broadleaf Forests",4,8,59,"",NA,NA,NA
"64","Oviparous","Urosaurus_bicarinatus",16.929,-96.832,1183,33.3,13.1,39.3,"dg",3.93494191148942,0.58182529848534,5.4,"sb","Diurnal","Arboreal","Tropical & Subtropical Dry Broadleaf Forests",6,8,60,"",NA,NA,NA
"65","Oviparous","Urosaurus_nigricauda",23.555,-109.86,500,35.5,16.2,39.8,"dg",3.63,0.55,4.5,"dg","Diurnal","Arboreal&Saxicolous&Terrestrial","Deserts & Xeric Shrublands",4,10,61,"",NA,NA,NA
"66","Oviparous","Urosaurus_ornatus",31.353,-106.565,1300,38,9.58,43.7,"dg",3.98,0.47,7.4,"dg","Diurnal","Arboreal&Saxicolous","Deserts & Xeric Shrublands",4,8,62,"",NA,NA,NA
"67","Oviparous","Uta_stansburiana",30.436,-116.029,6,34.7,9.1,40.6,"dg",3.89,0.51,3.8,"dg","Diurnal","Terrestrial","Deserts & Xeric Shrublands",5,8,63,"",NA,NA,NA
"68","Oviparous","Uta_stansburiana",39.5,-107.8,1851,36.7,7.8,43.7,"b",3.89,0.51,3.8,"dg","Diurnal","Terrestrial","Deserts & Xeric Shrublands",5,8,63,"",NA,NA,NA
"69","Viviparous","Eulamprus_tympanum",-36.4,148.4,1846,34.3,2.9,39.8,"b",14.2912436131157,0.823930043404826,2.7,"sb","Diurnal","Arboreal&Terrestrial","Temperate Broadleaf & Mixed Forests",12,2,14,"",NA,NA,NA
"70","Viviparous","Hemiergis_peronii",-34.5,138.3,1,30.2,9.6,38.8,"b",4.87666471256363,0.309957311132387,2,"sb","Cathemeral","Fossorial&Terrestrial","Mediterranean",10,2,16,"",NA,NA,NA
